#rev	#lex	#lex_freq	#homonym	#pos	#grams	#grams2	#flextype	#number	#form2	#form3	#translation	#comment	– не учит., 0 без перевода, ! что-то не так (с синонимами), нужен синоним g посм грам, p местоимения, ? сложно, ?? Непонятно, с — хочется спросить носителя, o — написал свою глоссу, h дефис, s генитив, m - явно опечатка	#gloss									
մղոկ	կողմ	140057		N		inanim	N11				side, party, aspect			side	side	party	aspect						
տոմ	մոտ	135032		POST			N11/N12/N26				near, nearest, next			near	near	nearest	next						
լերատակ	կատարել	130120		V		tr	V11	1			carry out, do, fulfill			fulfil	carry out	do	fulfill						
րիկրե	երկիր	128332		N		inanim	N14a				country, earth, land			land	country	earth	land						
ինաք	քանի	127662		PRON,A,intrg							how many, while			how.many	how many	while							
իրո	որի	126951		N		inanim	N23				jackdaw, daw			daw	jackdaw	daw							
ցրահ	հարց	126123		N		inanim	N11				question, matter, issue			issue	question	matter	issue						
նիջառա	առաջին	125473		NUM,A			N12	001!			first			first	first								
մագնա	անգամ	124729	1	ADV			N12/N51				time			time	time								
մագնա	անգամ	124729	2	PART							even			even	even								
նւոտ	տուն	120584		N		inanim	N43				house, home, dwelling house			house	house	home	dwelling house						
լանմ	մնալ	120276		V		intr	V21	1			remain, be, stay			stay	remain	be	stay						
վալ	լավ	117930		A			N11				good, healthy, positive			good	good	healthy	positive						
ջրեվ	վերջ	117788		N		inanim	N11				end			end	end								
լեյան	նայել	115988		V		intr/tr	V11	1			look (at), watch, examine			look.at	look (at)	watch	examine						
լանռադ	դառնալ	115557		V		intr	V22b	1			become, turn	oral some forms		become	become	turn							
քնատախշա	աշխատանք	115453		N		inanim	N12				work, labor, occupation			work	work	labor	occupation						
ւեչնիմ	մինչեւ	113988		CONJ							to, as far as, till			to	to	as far as	till						
լենտգ	գտնել	112961		V		tr	V12	1			find, discover, consider			find	find	discover	consider						
լեսկս	սկսել	112950		V		tr	V11	1			begin, commence, initiate			begin	begin	commence	initiate						
քռեձ	ձեռք	112863		N		inanim	N11				hand, arm			hand	hand	arm							
ւոկրե	երկու	110986		NUM,card				002			two			two	two								
րւոդ	դուր	109553	1	N		inanim	0				chisel	NP only		chisel	chisel								
րւոդ	դուր	109553	2	N		inanim	N13				chisel			chisel	chisel								
սրւոդ	դուրս	109527		POST			N13				outside, apart from			outside	outside	apart from							
նեդրա	արդեն	109504		ADV							already			already	already								
վո	ով	106505		PRON,S,intrg,hum	sg		P22				who			who	who								
նյակաս	սակայն	106042		CONJ							but, though			but	but	though							
լենտմ	մտնել	105110		V		intr	V12	1			enter, drive (into, up), call (on)			enter	enter	drive (into	up)	call (on)					
ցրաՀ	#Հարց	104205		N	topn	inanim	N11							PN									
լենցնա	անցնել	104007		V		intr/tr	V12	1			pass, walk			pass	pass	walk							
լենսահ	հասնել	103162		V		intr	V12	1			come, reach, ripen			reach	come	reach	ripen						
լեզւո	ուզել	100251		V		tr	V11	1			want, wish			want	want	wish							
րատ	տար	97310		A			N11				distant, far			far	distant	far							
լանետիգ	գիտենալ	97249		V		tr	V43	1			know, be aware (of), be acquainted (with)	V43/V22 included		know	know	be aware (of)	be acquainted (with)						
քչա	աչք	96673		N		inanim	N11				eye, sight, bud			eye	eye	sight	bud						
քպեդ	դեպք	95083		N		inanim	N11				event, case, circumstance			case	event	case	circumstance						
լետիգ	գիտել	95079		V		tr	V11	1			know	defective? no!		know	know								
իտիպ	պիտի	94232		PART			0 չպիտի=neg				must			must	must								
